IID,prs_basal_metabolic_rate,prs_power_potential,prs_stress_fracture_risk,prs_total_protein,prs_englyst_dietary_fibre,prs_savoury_snack_consumers,prs_overall_bone_mineral_density,prs_reduced_heart_beat_response_to_exercise,prs_endurance,prs_aversion_to_exercise,prs_total_fattty_acids,prs_potential_for_lean_body_mass
9497.ancestry,-1.81776073e-05,-1.78468192e-05,-0.000559049709,-0.00010952051,8.40839725e-05,-9.57571665e-05,5.72590662e-05,0.000399966084,-1.8566778e-06,-0.000142023255,-3.79608584e-05,-1.05700333e-05
9500.23andme,-1.50692443e-05,-1.07301857e-05,-0.000557462091,-0.000102762365,5.93116829e-05,-9.80008556e-05,1.48549646e-05,0.000408808316,4.75629366e-07,-0.000143770555,-0.00017168606,-6.82360333e-06
9502.23andme,-1.55628295e-05,-1.47092286e-05,-0.000569318512,-0.00011715026,7.4230569e-05,-8.84326099e-05,3.07162997e-05,0.000407165309,-2.71433661e-06,-0.000150615058,-0.000106500387,-6.06050461e-06
9504.ancestry,-1.33419089e-05,-2.43419826e-05,-0.000570833746,-9.4152835e-05,6.78338005e-05,-9.08805148e-05,-6.47474983e-05,0.000393350729,-2.27634606e-07,-0.000149999741,-0.000110095498,-1.01450185e-05
9507.ancestry,-2.09912617e-05,-1.99293278e-05,-0.000557066678,-0.00011472506,6.86061702e-05,-8.5151006e-05,-3.76867909e-05,0.000396871024,-3.68242503e-06,-0.000149551841,-0.00018802733,-1.11703531e-05
9508.ancestry,-2.00715029e-05,-1.70178843e-05,-0.000570815783,-9.76587748e-05,7.51221487e-05,-0.000107291445,0.00012926264,0.000389144876,-2.37010965e-06,-0.000156831264,-7.9660025e-05,-1.12216037e-05
9513.ancestry,-1.88788725e-05,-1.5585583e-05,-0.000560366103,-0.00010954417,4.51428732e-05,-0.000103186693,2.5744482e-05,0.000400838919,-4.57295528e-07,-0.00012739457,-0.000125403591,-9.24507655e-06
9514.23andme,-1.88910267e-05,-1.81770397e-05,-0.000548838892,-0.000112235667,6.12166901e-05,-8.68764773e-05,8.73263148e-05,0.00039757643,-3.72072969e-06,-0.000144139952,-0.000138434363,-9.97582761e-06
9515.23andme,-1.31901544e-05,-2.38708359e-05,-0.000537518535,-0.000120678422,6.29795321e-05,-8.67275052e-05,5.35705063e-05,0.000396127736,1.17411542e-06,-0.000127178156,-0.000146459568,-5.13495343e-06
9516.23andme,-1.15225123e-05,-1.55604754e-05,-0.000553040613,-0.000109467935,5.84192477e-05,-0.000101054792,7.77527992e-05,0.000393710961,2.40033504e-07,-0.000143713452,-0.000163696092,-4.02541665e-06
9517.23andme,-1.77635272e-05,-2.31907355e-05,-0.000541765931,-0.000108099183,5.80187882e-05,-0.000101501976,9.30206089e-05,0.000385242169,-2.13155282e-06,-0.000144497444,-7.63925196e-05,-9.28529446e-06
